HSFOVUFL,WR
HSFOVUFL,GHB
HSFOVUFL,OA
HSFOVUFL,LE
HSFOVUFL,TE
WR,BG
WR,LFWB
GHB,Thu
GHB,Ba
GHB,DIFU
GHB,DS
GHB,KrLo
GHB,CDU
GHB,STBW
GHB,LFBUV
TE,DSG
TE,DeBe
TE,UDEF
TE,Buw
LE,LFBUV
HSRW,WGPR
HSRW,CBF
HSRW,JWL
HSRW,AZN
HSRW,UD
RC,WGPR
CBF,AFF
AZN,PJIB
AZN,BDDLR
AZN,JIDBM
AZN,MaLe
AZN,RC
HSFPBW,DMVF
HSFPBW,DFW
HSFPBW,HRP
HSFPBW,RK
HSFPBW,RE
HSFPBW,GFN
HSFPBW,TMR
HSFPBW,UV
HSFPBW,RM
HSFPBW,BBE
HSFPBW,HJK
HSFPBW,SMR
HSFPBW,RKR
HSFPBW,GK
RK,SPD
TMR,HSU
HJK,GDPLBW
SMR,BDKBW
RKR,BUT
RKR,BBW
RKR,DP
GK,PKDLUDB
GK,AIS
HSFOVK,BSR
HSFOVK,ET
HSFOVK,SB
HSFOVK,JO
BSR,HSO
BSR,STBW
BSR,DS
ET,BFAN
SB,SRHKLS
SB,VNAD
SB,ObEl
SB,NOD
SB,HL
SB,GOFGUK
SB,EBW
SB,Sp
JO,VKU
JO,FBW
JO,BiFr
JO,KLF
JO,ScMu
JO,WKKSF
HSO,UK
HSO,KE
HSO,NO
HSO,MR
HSO,BSP
MR,TRT
BSP,FSF
BSP,BEM
HSM,EE
HSM,UF
HSM,TP
HSM,MSR
EE,DFHS
EE,IFM
EE,StMa
EE,DFG
EE,EB
EE,RIDLI
EE,DAA
EE,SDDV
EE,FES
UF,SPD
TP,LCI
TP,ArMa
TP,VDPMUE
HSH,HB
HSH,EDG
HSH,WH
HSH,SHT
HSH,AR
HSH,PT
HSE,EMA
HSE,DBK
HSE,SLZ
HSE,CRH
HSE,TS
HSE,HS
HB,VDV
EDG,IH
WH,DSS
AR,EvBa
AR,BG
PT,TUM
DBK,FFGJ
DBK,LAIBW
DBK,VDMABW
TS,BEB
HS,ES
HS,DDS
HS,FIDW
HSB,DAS
HSB,MBR
HSB,WGDN
HSB,GL
HSB,SM
HSB,WM
GL,We
HSAS,UJV
HSAS,TL
HSAS,UMR
HSAS,HMR
HSAS,SESR
UJV,UU
UJV,G
UJV,EISPE
UJV,EFB
TL,VDMABW
HSA,MKE
HSA,FE
HSA,GG
HSA,JK
HSA,SKNN
HSA,MWR
MKE,H
MKE,DT
MKE,RB
MKE,DW
FE,LMTGO
MWR,UU
HSKZ,SKT
HSKZ,AL
HSKZ,MDR
HSKZ,BEBN
HSKZ,TRE
SKT,Su
SKT,LAIBW
SKT,BaWuIn
SKT,VDMABW
AL,BDS
AL,EnSt
AL,KaRo
AL,TSFWF
BEBN,AH
BEBN,BDA
BEBN,KAKIK
BEBN,B
BEBN,PB
BEBN,DIFN
BEBN,BFB
BEBN,BuBa
BEBN,DSD
BEBN,IFS
HSF,EF
HSF,ALM
HSF,MRM
HSF,DSK
HSF,JSZ
HSF,MZ
MZ,IEK
MZ,TF
HSU,JSR
HSU,MB
HSU,CB
HSU,TMR
HSU,HM
JSR,UKU
JSR,ISUNU
JSR,IH
JSR,AS
MB,EO
MB,VDEEI
MB,UU
MB,UKU
CB,MFWFUKBW
CB,UniFre
CB,LFS
CB,UM
HSR,CK
HSR,KW
HSR,WB
HSR,COE
HSR,AG
HSR,MK
HSR,ML
KW,SBB
KW,DB
WB,GFIF
WB,WIUB
WB,GFA
WB,DGFNB
WB,DNB
WB,EvBa
WB,EC
WB,BS
WB,IFFPR
WB,IGM
WB,AIBW
WB,RMB
WB,RIDW
WB,VDI
WB,WGAB
COE,FETZEE
COE,IH
AG,AS
AG,MES
AG,IH
AG,DHBW
MK,REW
MK,BWI
HSDM,JR
HSDM,SMH
HSDM,IF
HSDM,AB
JR,SPM
JR,AkSt
SMH,FKS
SMH,GFKN
HSP,SS
HSP,GF
HSP,SNSL
SS,SWR
SS,FFT
GF,W
SNSL,Sp
